Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/17/2025,05/18/2025,C.M.LIFE HAVEN,Bills & Utilities,Sale,-86.98,
05/16/2025,05/18/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-15.65,
05/16/2025,05/18/2025,TST* TOTTO'S MARKET,Groceries,Sale,-25.31,
05/15/2025,05/18/2025,JEWEL OSCO 4500,Groceries,Sale,-88.84,
05/17/2025,05/18/2025,JIMMY JOHNS - 0570,Food & Drink,Sale,-20.30,
05/17/2025,05/18/2025,Kindle Svcs*NZ0I21GR2,Shopping,Sale,-2.20,
05/15/2025,05/18/2025,ELEY HOSE R,Home,Sale,-103.81,
05/15/2025,05/16/2025,AMAZON MKTPL*NW89B0Z11,Shopping,Sale,-29.75,
05/13/2025,05/15/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.42,
05/14/2025,05/15/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-7.23,
05/14/2025,05/15/2025,SENORITAS CANTINA,Food & Drink,Sale,-73.55,
05/13/2025,05/14/2025,SQ *PRINTERS ROW WINE SHO,Food & Drink,Sale,-19.47,
05/14/2025,05/14/2025,MED*UNIVERSITY OF CHICAGO,Health & Wellness,Sale,-25.00,
05/13/2025,05/14/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-7.98,
05/14/2025,05/14/2025,SP STRIDERITESHOES,Shopping,Sale,-126.45,
05/13/2025,05/14/2025,WALGREENS #7179,Health & Wellness,Sale,-3.94,
05/11/2025,05/13/2025,MED*UNIVERSITY OF CHICAGO,Health & Wellness,Return,25.00,
05/13/2025,05/13/2025,AMAZON MKTPL*NW51V02W2,Shopping,Sale,-22.04,
05/11/2025,05/13/2025,APOLIS GREEK STREET FOOD,Food & Drink,Sale,-49.90,
05/13/2025,05/13/2025,AMAZON MKTPL*NI5WL8DZ1,Shopping,Sale,-11.01,
05/11/2025,05/13/2025,PATEL BROTHERS NAPERVILLE,Groceries,Sale,-239.64,
05/11/2025,05/12/2025,TST* TOTTO'S MARKET,Groceries,Sale,-36.89,
05/11/2025,05/12/2025,Amazon.com*NI60C1MV1,Shopping,Sale,-30.74,
05/10/2025,05/11/2025,AT *MORTON ARBORETUM,Gifts & Donations,Sale,-45.90,
05/10/2025,05/11/2025,SP JP BODEN SVCS INC,Shopping,Sale,-66.26,
05/08/2025,05/11/2025,ALTIS PRIME HOTEL,Travel,Sale,-956.81,
05/09/2025,05/11/2025,HANNA ANDERSSON,Shopping,Sale,-119.03,
05/09/2025,05/11/2025,TST* TOTTO'S MARKET,Groceries,Sale,-8.25,
05/10/2025,05/11/2025,Amazon.com*NI3HG1TS1,Shopping,Sale,-19.77,
05/10/2025,05/11/2025,TST*LAWRENCES FISH &amp; SH,Food & Drink,Sale,-23.11,
05/08/2025,05/09/2025,carters  Inc.,Shopping,Sale,-70.56,
05/08/2025,05/09/2025,AMAZON MKTPL*NI9QT3C30,Shopping,Sale,-174.27,
05/08/2025,05/09/2025,SQ *MAU'S HOUSE,Personal,Sale,-111.78,
05/08/2025,05/09/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-28.76,
05/07/2025,05/08/2025,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-6.60,
05/08/2025,05/08/2025,Amazon.com*NB3QC0YB0,Shopping,Sale,-87.64,
05/07/2025,05/08/2025,Sandmeyers Bookstore,Shopping,Sale,-12.13,
05/06/2025,05/08/2025,TRADER JOE S #701,Groceries,Sale,-23.71,
05/07/2025,05/08/2025,Amazon.com,Groceries,Return,6.12,
05/06/2025,05/08/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.42,
05/07/2025,05/08/2025,SP JP BODEN SVCS INC,Shopping,Sale,-27.02,
05/07/2025,05/08/2025,SP JP BODEN SVCS INC,Shopping,Sale,-59.53,
05/08/2025,05/08/2025,MED*UNIVERSITY OF CHICAGO,Health & Wellness,Sale,-25.00,
05/07/2025,05/08/2025,Patagonia Direct Inc.,Shopping,Sale,-83.72,
05/07/2025,05/08/2025,Amazon.com*NI8A057T2,Groceries,Sale,-172.15,
05/07/2025,05/07/2025,C.M.LIFE HAVEN,Bills & Utilities,Sale,-90.36,
05/06/2025,05/07/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-8.11,
05/07/2025,05/07/2025,AMAZON MKTPL*NB68E6SI1,Shopping,Sale,-4.89,
05/06/2025,05/07/2025,AZAZIE INC,Shopping,Return,123.50,
05/05/2025,05/06/2025,Disney Plus,Bills & Utilities,Sale,-12.11,
05/04/2025,05/05/2025,BP#9179938PRIDE OF CHICA,Gas,Sale,-51.36,
05/04/2025,05/05/2025,GEICO  *AUTO,Bills & Utilities,Sale,-88.56,
05/04/2025,05/05/2025,TST* THE BIG MINI,Food & Drink,Sale,-31.70,
05/04/2025,05/05/2025,TST* TOTTO'S MARKET,Groceries,Sale,-11.43,
05/03/2025,05/04/2025,SQ *DOS BROS SOUTH LOOP,Food & Drink,Sale,-29.47,
05/03/2025,05/04/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-5.28,
05/01/2025,05/04/2025,carters  Inc.,Shopping,Return,20.46,
05/03/2025,05/04/2025,SQ *FALAFEL &amp; GRILL,Food & Drink,Sale,-15.91,
05/03/2025,05/04/2025,GETCLEAN.US,Home,Sale,-383.80,
05/01/2025,05/02/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-33.74,
04/30/2025,05/01/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-12.50,
04/30/2025,05/01/2025,AMAZON MKTPL*7D4PL62P3,Shopping,Sale,-37.47,
04/30/2025,05/01/2025,Amazon.com*NB4SR56S2,Groceries,Sale,-208.18,
04/29/2025,05/01/2025,TRADER JOE S #701,Groceries,Sale,-27.34,
04/30/2025,04/30/2025,Payment Thank You-Mobile,,Payment,8206.73,
04/30/2025,04/30/2025,LAO SZE CHUAN (GRANT P,Food & Drink,Sale,-18.95,
04/29/2025,04/30/2025,AMAZON MKTPL*G78EU6FS3,Shopping,Sale,-79.31,
04/28/2025,04/29/2025,SQ *DOS BROS SOUTH LOOP,Food & Drink,Sale,-29.92,
04/28/2025,04/29/2025,TST* TOTTO'S MARKET,Groceries,Sale,-25.27,
04/28/2025,04/29/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-15.53,
04/27/2025,04/28/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-32.29,
04/27/2025,04/28/2025,TST* TOTTO'S MARKET,Groceries,Sale,-26.48,
04/26/2025,04/28/2025,TRADER JOE S #701,Groceries,Sale,-131.54,
04/25/2025,04/27/2025,NYTIMES*,Bills & Utilities,Sale,-23.00,
04/25/2025,04/27/2025,CHICAGO CURRY HOUSE,Food & Drink,Sale,-45.19,
04/26/2025,04/27/2025,Amazon.com*N25P32Y02,Shopping,Sale,-44.32,
04/25/2025,04/27/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-30.74,
04/23/2025,04/25/2025,UNITED      0164491036973,Travel,Sale,-54.99,
